sentence1,sentence2,similarity_score,split
Un avion est en train de décoller.,Un avion est en train de décoller.,5.0,train
Un homme joue d'une grande flûte.,Un homme joue de la flûte.,3.799999952316284,train
Un homme étale du fromage râpé sur une pizza.,Un homme étale du fromage râpé sur une pizza non cuite.,3.799999952316284,train
Trois hommes jouent aux échecs.,Deux hommes jouent aux échecs.,2.5999999046325684,train
Un homme joue du violoncelle.,Un homme assis joue du violoncelle.,4.25,train
Certains hommes se battent.,Deux hommes se battent.,4.25,train
Un homme est en train de fumer.,Un homme fait du patinage.,0.5,train
L'homme joue du piano.,L'homme joue de la guitare.,1.600000023841858,train
Un homme joue de la guitare et chante.,Une femme joue de la guitare acoustique et chante.,2.200000047683716,train
Une personne jette un chat au plafond.,Une personne jette un chat au plafond.,5.0,train
L'homme a frappé l'autre homme avec un bâton.,L'homme a donné une fessée à l'autre homme avec un bâton.,4.199999809265137,train
Une femme prend et tient un bébé kangourou.,Une femme prend et tient un bébé kangourou dans ses bras.,4.599999904632568,train
Un homme joue de la flûte.,Un homme joue de la flûte de bambou.,3.867000102996826,train
Une personne est en train de plier un morceau de papier.,Quelqu'un est en train de plier un morceau de papier.,4.666999816894531,train
Un homme court sur la route.,Un chien panda court sur la route.,1.6670000553131104,train
Un chien essaie de se débarrasser de son bacon.,Un chien essaie de manger le bacon sur son dos.,3.75,train
L'ours polaire glisse sur la neige.,Un ours polaire glisse sur la neige.,5.0,train
Une femme est en train d'écrire.,Une femme nage.,0.5,train
Un chat se frotte au visage de bébé.,Un chat se frotte contre un bébé.,3.799999952316284,train
L'homme est à cheval.,Un homme est monté sur un cheval.,5.0,train
Un homme verse de l'huile dans un pot.,Un homme verse du vin dans un pot.,3.200000047683716,train
Un homme joue de la guitare.,Une fille joue de la guitare.,2.799999952316284,train
Un panda glisse sur un toboggan.,Un panda glisse sur un toboggan.,4.599999904632568,train
Une femme est en train de manger quelque chose.,Une femme mange de la viande.,3.0,train
Une femme épluche une pomme de terre.,Une femme épluche une pomme de terre.,5.0,train
Le garçon est tombé de son vélo.,Un garçon tombe de son vélo.,4.800000190734863,train
La femme joue de la flûte.,Une femme joue de la flûte.,5.0,train
Un lapin court après un aigle.,Un lièvre court devant un aigle.,4.199999809265137,train
La femme fait frire une côtelette de porc panée.,Une femme prépare une côtelette de porc panée.,4.199999809265137,train
Une fille fait voler un cerf-volant.,Une fille qui court fait voler un cerf-volant.,4.0,train
Un homme monte un taureau mécanique.,Un homme était à cheval sur un taureau mécanique.,4.0,train
L'homme joue de la guitare.,Un homme joue de la guitare.,4.908999919891357,train
Une femme danse et chante avec d'autres femmes.,Une femme danse et chante sous la pluie.,3.0,train
Un homme est en train de couper un petit pain.,Un homme coupe un oignon en tranches.,2.4000000953674316,train
Un homme verse de l'huile dans une casserole.,Un homme verse de l'huile dans une poêle.,4.199999809265137,train
Un lion joue avec les gens.,Un lion joue avec deux hommes.,3.4000000953674316,train
Un chien fait du skateboard.,Un chien fait du skateboard.,5.0,train
Quelqu'un est en train de sculpter une statue.,Un homme est en train de sculpter une statue.,3.75,train
Une femme coupe un oignon.,Un homme est en train de couper un oignon.,2.75,train
Une femme épluche des crevettes.,Une femme est en train de peler des crevettes.,5.0,train
Une femme fait frire du poisson.,Une femme fait cuire du poisson.,4.0,train
Une femme joue de la guitare électrique.,Une femme joue de la guitare.,3.5999999046325684,train
Un bébé tigre joue avec une balle.,Un bébé joue avec une poupée.,1.600000023841858,train
Une personne coupe une tomate en tranches.,Une personne coupe de la viande en tranches.,1.75,train
Une personne coupe un oignon.,Une personne est en train de couper un oignon.,5.0,train
Un homme joue du piano.,Une femme joue du violon.,1.0,train
Une femme joue de la flûte.,Un homme joue de la guitare.,1.0,train
Un homme est en train de couper une pomme de terre.,Un homme est en train de couper des carottes.,2.375,train
Un enfant joue de la guitare.,Un garçon joue de la guitare.,3.799999952316284,train
Un garçon joue de la guitare.,Un homme joue de la guitare.,3.200000047683716,train
Un homme joue de la guitare.,Un garçon joue de la guitare.,3.200000047683716,train
Un petit garçon joue du clavier.,Un garçon joue au clavier.,4.400000095367432,train
Un homme joue de la guitare.,Un homme joue de la guitare électrique.,3.75,train
Un chien lèche un bébé.,Un chien est en train de lécher un bébé.,4.75,train
Une femme coupe un oignon.,Un homme est en train de couper et d'ogner.,3.200000047683716,train
Un homme joue de la guitare.,Un homme joue de la batterie.,1.555999994277954,train
Une femme est en train de couper un poivron.,Une femme coupe un poivron rouge.,3.937999963760376,train
Un homme joue de la batterie.,Un homme joue du tambour.,5.0,train
Une femme monte à cheval.,Une femme monte à cheval.,5.0,train
Un homme mange une banane près d'un arbre.,Un homme mange une banane.,4.0,train
Un chat joue sur un clavier.,Un homme joue de deux claviers.,1.600000023841858,train
Un homme abat un arbre avec une hache.,Un homme a coupé un arbre avec une hache.,4.75,train
Un enfant joue avec un téléphone jouet.,Un petit garçon joue avec un téléphone jouet.,3.5,train
Un homme conduit une moto.,Un homme est à cheval.,1.399999976158142,train
Un homme conduit une moto.,Un homme est à cheval.,1.399999976158142,train
Un écureuil tourne en rond.,Un écureuil tourne en rond.,4.0,train
Un homme et une femme s'embrassent.,Un homme et une femme s'embrassent.,5.0,train
Un homme monte dans une voiture.,Un homme monte dans une voiture dans un garage.,3.8329999446868896,train
Un homme est en train de danser.,Un homme parle.,0.6000000238418579,train
Un homme joue de la guitare et chante.,Un homme joue de la guitare.,2.9170000553131104,train
Une personne coupe des champignons.,Une personne coupe des champignons avec un couteau.,4.199999809265137,train
Un bébé tigre fait un bruit.,Un tigre se promène.,2.0,train
Une personne coupe des oignons.,Une personne est en train de peler un oignon.,2.5999999046325684,train
Un homme joue du piano.,Un homme joue de la trompette.,1.600000023841858,train
Une femme épluche une pomme de terre.,Une femme épluche une pomme.,2.0,train
Un pankda mange du bambou.,Un panda est en train de manger du bambou.,4.199999809265137,train
Une personne est en train de peler un oignon.,Une personne est en train d'éplucher une aubergine.,2.0,train
Un singe pousse un autre singe.,Le singe a poussé l'autre singe.,4.800000190734863,train
Un écureuil tourne en rond.,Un écureuil tourne en rond.,4.400000095367432,train
Un homme est en train de lacer sa chaussure.,Un homme attache sa chaussure.,5.0,train
Un garçon chante et joue du piano.,Un garçon joue du piano.,3.0,train
Un chien mange de la pastèque.,Un chien mange un morceau de pastèque.,4.25,train
Une femme est en train de couper des brocolis.,Une femme coupe des brocolis avec un couteau.,4.25,train
